0	366	273	217	532	228	372	483	395	142	180	329	92	272	171	140	118	408	436	75
366	0	160	242	161	178	77	151	226	244	241	234	380	98	193	253	329	80	199	374
273	160	0	120	316	178	122	295	326	132	105	304	324	138	146	185	209	221	311	297
217	242	120	0	409	214	216	384	388	82	75	349	289	175	138	173	139	308	393	255
532	161	316	409	0	314	193	86	242	422	411	302	534	261	361	409	500	121	169	531
228	178	178	214	314	0	203	260	186	164	185	138	219	91	87	99	225	189	208	219
372	77	122	216	193	203	0	185	265	244	223	280	403	112	205	261	329	116	227	390
483	151	295	384	86	260	185	0	174	381	376	324	477	219	316	356	461	98	101	478
395	226	326	388	242	186	265	174	0	349	360	87	361	213	268	281	408	166	92	379
142	244	132	82	422	164	244	381	349	0	70	299	204	164	77	91	111	306	363	169
180	241	105	75	411	185	223	376	360	70	0	324	248	164	100	131	108	302	374	214
329	234	304	349	302	138	280	234	87	299	324	0	286	197	222	220	348	200	146	308
92	380	324	289	534	219	403	477	361	204	248	286	0	292	198	151	173	413	412	71
272	98	138	175	261	91	112	219	213	164	164	197	292	0	97	151	240	142	213	278
171	193	146	138	361	87	205	316	268	77	100	222	198	97	0	80	143	243	292	180
140	253	185	173	409	99	261	356	281	91	131	220	151	151	80	0	131	281	315	125
118	329	209	139	500	225	329	461	408	111	108	348	173	240	143	131	0	381	430	128
408	80	221	308	121	189	116	98	166	306	302	200	413	142	243	281	381	0	142	403
436	199	311	393	169	208	227	101	92	363	374	146	412	213	292	315	430	142	0	421
75	374	297	255	531	219	390	478	379	169	214	308	71	278	180	125	128	403	421	0
